sector_code,municipality_name,municipality_code,sector_situation,MR_name,sector_type,avg_income,total_households,piped_water,well_spring_water,stored_rainwater,other_water_source,private_bathroom,bathroom_sewerage,bathroom_septic_tank,bathroom_cesspit,bathroom_ditch,bathroom_waterbodies,bathroom_other
150080005000440,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,644,219,202,11,0,6,218,174,3,40,1,0,0
150080005000441,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,767,266,15,159,0,92,264,40,110,95,18,0,1
150080005000442,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,526,257,239,15,0,3,253,2,22,148,81,0,0
150080005000443,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,2098,91,23,18,0,50,91,51,20,20,0,0,0
150080005000444,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,2197,136,0,36,0,100,136,69,67,0,0,0,0
150080005000445,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,3883,196,62,132,0,2,193,17,167,6,3,0,0
150080005000446,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,618,216,1,197,0,18,211,0,11,199,0,0,1
150080005000447,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,678,341,20,301,0,20,340,16,246,51,4,11,12
150080005000448,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,689,421,251,157,0,13,412,18,350,9,3,28,4
150080005000449,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,2200,185,8,176,0,1,185,125,51,6,0,2,1
150080005000450,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,3105,154,0,154,0,0,154,2,145,7,0,0,0
150080005000451,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,588,230,5,193,0,32,226,0,1,188,37,0,0
150080005000452,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,362,107,2,72,0,33,105,1,72,23,7,0,2
150080005000453,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,703,194,3,152,0,39,182,0,112,69,0,0,1
150080005000454,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,652,314,0,238,0,76,298,0,0,293,1,0,4
150080005000455,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,543,197,30,130,0,37,187,0,169,2,15,0,1
150080005000456,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,571,193,0,171,0,22,191,5,68,114,0,3,1
150080005000457,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,782,165,3,141,0,21,162,13,4,143,0,1,1
150080005000458,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,668,221,83,110,0,28,214,0,1,203,5,1,4
150080005000459,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,1766,214,176,38,0,0,214,3,207,2,1,1,0
150080005000460,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,476,240,3,208,0,29,235,12,1,181,26,12,3
150080005000461,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,0,767,210,0,196,0,14,207,2,174,17,13,0,1
150080005000462,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,1362,163,89,72,0,2,163,21,43,96,3,0,0
150080005000463,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,1317,186,132,51,0,3,186,44,3,135,2,1,1
150080005000464,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,1808,158,156,2,0,0,158,0,2,155,1,0,0
150080005000465,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,1114,152,107,44,0,1,152,31,116,5,0,0,0
150080005000466,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,1267,171,154,16,0,1,170,20,3,147,0,0,0
150080005000467,ANANINDEUA,1500800,urban,Metropolitan Region of Belém,1,1394,187,167,16,0,4,187,3,175,9,0,0,0
