"";"sector_code";"municipality_name";"municipality_code";"sector_situation";"MR_name";"sector_type";"V005_bas";"V002_h01";"V012_h01";"V013_h01";"V014_h01";"V015_h01";"V016_h01";"V017_h01";"V018_h01";"V019_h01";"V020_h01";"V021_h01";"V022_h01";"V002_h02"
"196";"150080005000196";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";506,6;251;63;165;0;23;247;3;16;219;8;0;1;977
"197";"150080005000197";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";678,78;434;138;287;0;9;433;0;0;433;0;0;0;1541
"198";"150080005000198";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";592,6;275;24;248;0;3;273;1;256;16;0;0;0;988
"199";"150080005000199";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";627,07;174;8;144;0;22;172;0;4;167;0;0;1;649
"200";"150080005000200";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";5976,44;583;253;106;0;224;583;212;147;210;4;0;10;2215
"201";"150080005000201";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";2644,43;275;244;30;0;1;274;12;248;14;0;0;0;1061
"202";"150080005000202";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1733,17;154;131;20;0;3;154;2;1;149;2;0;0;640
"203";"150080005000203";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1804,39;302;270;27;0;5;302;6;265;31;0;0;0;1138
"204";"150080005000204";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1958,66;352;287;60;0;5;352;8;200;137;7;0;0;1403
"205";"150080005000205";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1604,79;265;190;74;0;1;265;52;203;10;0;0;0;972
"206";"150080005000206";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1175,62;321;202;119;0;0;321;50;91;180;0;0;0;1085
"207";"150080005000207";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1618,93;387;304;83;0;0;387;27;320;40;0;0;0;1453
"208";"150080005000208";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1611,57;216;192;23;0;1;216;85;131;0;0;0;0;846
"209";"150080005000209";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1690,76;330;286;41;0;3;330;41;268;19;0;1;1;1209
"210";"150080005000210";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1127,81;281;39;217;0;25;281;204;6;71;0;0;0;1022
"211";"150080005000211";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1171,52;289;1;274;0;14;289;207;1;81;0;0;0;977
"212";"150080005000212";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1214,12;285;2;278;0;5;285;168;4;113;0;0;0;983
"213";"150080005000213";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1119,32;273;4;257;0;12;271;234;6;30;1;0;0;935
"214";"150080005000214";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";821,05;311;218;86;0;7;311;148;2;161;0;0;0;1107
"215";"150080005000215";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1647,18;294;228;35;0;31;294;16;275;3;0;0;0;1156
"216";"150080005000216";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1762,34;184;169;14;0;1;184;53;127;2;0;0;2;701
"217";"150080005000217";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1486,42;317;230;71;0;16;317;163;3;149;2;0;0;1169
"218";"150080005000218";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1006,84;298;203;95;0;0;298;46;8;244;0;0;0;1059
"219";"150080005000219";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1811,88;319;161;158;0;0;319;11;252;11;45;0;0;1224
"220";"150080005000220";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1775,94;199;170;29;0;0;199;11;0;188;0;0;0;724
"221";"150080005000221";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1738,52;352;243;109;0;0;352;27;13;312;0;0;0;1274
"222";"150080005000222";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1618,8;330;290;39;0;1;330;97;3;230;0;0;0;1235
"223";"150080005000223";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1717,58;337;302;35;0;0;337;31;296;10;0;0;0;1237
"224";"150080005000224";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1852,15;229;202;22;0;5;229;13;205;10;1;0;0;916
"225";"150080005000225";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";722,6;273;248;25;0;0;273;107;166;0;0;0;0;799
"226";"150080005000226";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1787,09;336;273;62;0;1;335;24;296;14;1;0;0;1246
"227";"150080005000227";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1310,49;338;271;65;0;2;338;52;278;7;0;0;1;1295
"228";"150080005000228";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1682,77;309;280;29;0;0;309;4;303;1;1;0;0;1264
"229";"150080005000229";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1728,68;337;280;56;0;1;337;90;229;18;0;0;0;1279
"230";"150080005000230";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1811,08;169;146;23;0;0;169;4;160;5;0;0;0;655
"231";"150080005000231";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1750,8;229;162;67;0;0;229;51;175;0;3;0;0;807
"232";"150080005000232";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1395,39;273;254;19;0;0;273;103;21;149;0;0;0;1101
"233";"150080005000233";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1485,27;281;243;38;0;0;281;58;175;38;0;0;10;1067
"234";"150080005000234";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";878,25;242;224;17;0;1;242;62;177;3;0;0;0;915
"235";"150080005000235";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1891,53;347;317;21;0;9;347;72;95;180;0;0;0;1311
"236";"150080005000236";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1148,27;317;270;43;0;4;317;2;28;287;0;0;0;1156
"237";"150080005000237";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1028,02;208;169;36;0;3;207;5;202;0;0;0;0;841
"238";"150080005000238";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1642,25;379;265;91;0;23;379;18;33;328;0;0;0;1382
"239";"150080005000239";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1820,41;223;207;10;0;6;223;4;205;8;0;0;6;814
"240";"150080005000240";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1385,72;381;294;87;0;0;381;2;187;192;0;0;0;1453
"241";"150080005000241";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1477,88;317;255;58;0;4;317;65;15;237;0;0;0;1209
"242";"150080005000242";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1417,34;298;231;66;0;1;298;41;191;63;3;0;0;1089
"243";"150080005000243";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1292,86;195;159;35;0;1;195;24;170;0;1;0;0;789
"244";"150080005000244";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";897,69;320;260;59;0;1;320;4;18;233;65;0;0;1267
"245";"150080005000245";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1226,39;263;198;65;0;0;263;22;235;6;0;0;0;1032
